"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ZYDUSLIFE","EQ","06-Feb-2026","905.00","905.00","905.00","884.00","887.00","888.15","888.50","4,92,792","43,78,43,399.50","34,496","2,55,460","51.84"
"ZYDUSLIFE","EQ","05-Feb-2026","905.25","909.25","910.00","896.60","905.00","905.00","905.14","4,19,002","37,92,56,375.10","29,048","1,90,119","45.37"
"ZYDUSLIFE","EQ","04-Feb-2026","902.90","905.20","912.50","898.65","905.50","905.25","906.10","4,95,453","44,89,30,335.60","30,316","2,01,530","40.68"
"ZYDUSLIFE","EQ","03-Feb-2026","879.65","901.00","916.85","895.25","903.40","902.90","903.57","10,50,230","94,89,59,516.20","34,998","5,35,315","50.97"
"ZYDUSLIFE","EQ","02-Feb-2026","878.10","876.30","882.00","863.65","877.50","879.65","873.21","4,05,651","35,42,17,536.65","32,649","1,94,206","47.88"
"ZYDUSLIFE","EQ","01-Feb-2026","885.30","881.00","897.00","875.95","878.35","878.10","884.04","1,73,242","15,31,53,118.75","13,357","56,003","32.33"
"ZYDUSLIFE","EQ","30-Jan-2026","890.70","884.25","896.15","882.45","884.00","885.30","886.61","6,62,055","58,69,84,039.65","33,881","4,25,290","64.24"
"ZYDUSLIFE","EQ","29-Jan-2026","896.90","893.00","894.00","881.15","891.00","890.70","887.50","4,03,045","35,77,03,557.05","25,326","1,97,821","49.08"
"ZYDUSLIFE","EQ","28-Jan-2026","893.35","892.50","899.20","886.45","897.40","896.90","892.16","3,13,242","27,94,61,624.95","24,085","1,69,184","54.01"
"ZYDUSLIFE","EQ","27-Jan-2026","882.00","890.00","894.95","879.90","891.90","893.35","890.11","4,90,213","43,63,44,909.25","34,511","2,58,671","52.77"
"ZYDUSLIFE","EQ","23-Jan-2026","885.30","886.50","897.15","880.00","883.00","882.00","886.67","4,60,331","40,81,62,350.60","34,182","1,95,549","42.48"
"ZYDUSLIFE","EQ","22-Jan-2026","876.25","876.25","888.00","875.80","885.80","885.30","884.30","4,69,855","41,54,91,633.50","40,023","2,35,763","50.18"
"ZYDUSLIFE","EQ","21-Jan-2026","873.40","868.00","884.00","868.00","876.70","876.25","876.49","9,02,659","79,11,69,841.80","58,873","4,33,596","48.04"
"ZYDUSLIFE","EQ","20-Jan-2026","881.10","881.20","888.00","869.20","875.20","873.40","878.36","8,99,558","79,01,36,604.35","50,696","4,47,807","49.78"
"ZYDUSLIFE","EQ","19-Jan-2026","868.10","868.10","882.95","855.95","878.60","881.10","870.42","6,06,193","52,76,41,331.35","26,104","2,34,747","38.72"
"ZYDUSLIFE","EQ","16-Jan-2026","883.75","888.00","891.00","865.40","868.00","868.10","877.06","10,52,948","92,34,94,808.45","54,117","6,23,171","59.18"
"ZYDUSLIFE","EQ","14-Jan-2026","900.70","900.70","902.00","881.00","885.00","883.75","886.22","7,28,209","64,53,56,445.50","48,601","3,73,339","51.27"
"ZYDUSLIFE","EQ","13-Jan-2026","895.05","902.00","902.05","885.45","900.10","900.70","895.72","4,93,965","44,24,53,818.35","29,547","2,14,592","43.44"
"ZYDUSLIFE","EQ","12-Jan-2026","894.90","888.00","898.30","881.00","897.00","895.05","890.45","4,24,551","37,80,43,316.15","29,419","1,46,984","34.62"
"ZYDUSLIFE","EQ","09-Jan-2026","907.55","906.95","913.55","890.50","893.60","894.90","898.25","7,97,148","71,60,41,220.00","40,195","4,55,363","57.12"
"ZYDUSLIFE","EQ","08-Jan-2026","927.55","928.10","930.00","905.55","908.00","907.55","917.11","4,30,365","39,46,92,445.50","22,240","2,07,291","48.17"
"ZYDUSLIFE","EQ","07-Jan-2026","931.05","928.00","941.00","923.20","927.90","927.55","931.35","5,18,054","48,24,91,453.40","24,556","2,08,291","40.21"
"ZYDUSLIFE","EQ","06-Jan-2026","921.95","921.95","933.10","917.75","931.40","931.05","927.59","4,50,775","41,81,36,029.05","21,133","2,54,179","56.39"
"ZYDUSLIFE","EQ","05-Jan-2026","916.90","915.10","924.85","911.45","922.00","921.95","919.67","4,42,298","40,67,70,000.50","24,652","2,45,150","55.43"
"ZYDUSLIFE","EQ","02-Jan-2026","915.05","918.85","918.85","912.00","917.95","916.90","915.71","2,62,095","24,00,03,430.50","14,651","1,58,615","60.52"
"ZYDUSLIFE","EQ","01-Jan-2026","914.35","919.80","921.15","907.10","915.65","915.05","912.60","4,72,472","43,11,80,008.00","29,152","2,16,585","45.84"
"ZYDUSLIFE","EQ","31-Dec-2025","901.45","902.00","915.70","902.00","914.00","914.35","911.59","3,83,442","34,95,42,953.85","19,204","1,87,932","49.01"
"ZYDUSLIFE","EQ","30-Dec-2025","904.60","904.00","906.00","896.75","902.40","901.45","900.72","7,21,717","65,00,67,836.75","37,282","4,20,644","58.28"
