ticker,rows
ABB,1405
ADANIENSOL,1240
ADANIENT,1408
ADANIGREEN,1343
ADANIPORTS,1408
ADANIPOWER,1202
AMBUJACEM,1408
APOLLOHOSP,1408
ASIANPAINT,1408
AXISBANK,1408
BAJAJ-AUTO,1408
BAJAJFINSV,1408
BAJAJHLDNG,1408
BAJFINANCE,1408
BANKBARODA,1408
BEL,1408
BHARTIARTL,1408
BOSCHLTD,1408
BPCL,1408
BRITANNIA,1408
CANBK,1408
CGPOWER,1228
CHOLAFIN,1408
CIPLA,1408
COALINDIA,1408
DIVISLAB,1408
DLF,1408
DMART,1355
DRREDDY,1408
EICHERMOT,1408
ETERNAL,1019
GAIL,1408
GODREJCP,1408
GRASIM,1408
HAL,1408
HAVELLS,1408
HCLTECH,1408
HDFCBANK,1408
HDFCLIFE,1408
HINDALCO,1408
HINDUNILVR,1408
HINDZINC,1408
ICICIBANK,1408
ICICIGI,1408
INDHOTEL,1408
INDIGO,1408
INFY,1408
IOC,1408
IRFC,1137
ITC,1408
JINDALSTEL,1408
JSWENERGY,1226
JSWSTEEL,1408
KOTAKBANK,1408
LODHA,1085
LT,1408
LTM,1408
M&M,1408
MARUTI,1408
MAXHEALTH,1238
MAZDOCK,1213
MOTHERSON,1408
NAUKRI,1408
NESTLEIND,1408
NTPC,1408
ONGC,1408
PFC,1408
PIDILITIND,1408
PNB,1408
POWERGRID,1408
RECLTD,1408
RELIANCE,1408
SBILIFE,1408
SBIN,1408
SHREECEM,1408
SHRIRAMFIN,1408
SIEMENS,1408
SOLARINDS,1408
SUNPHARMA,1408
TATACONSUM,1408
TATAPOWER,1408
TATASTEEL,1408
TCS,1408
TECHM,1408
TITAN,1408
TMPV,1408
TORNTPHARM,1408
TRENT,1408
TVSMOTOR,1408
ULTRACEMCO,1408
UNITDSPR,1408
VBL,1408
VEDL,1408
WIPRO,1408
ZYDUSLIFE,1408
