symbol,series,date,prevclose,open,high,low,lastprice,close,averageprice,volume,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty,news_sent,news_count,sent_3d,sent_7d,sent_momentum,sent_surprise,news_intensity,news_event,days_since_news,news_decay_weight,sent_weighted,surprise_weighted,is_recent_news,ret_1d,ret_5d,ret_21d,momentum_1m,momentum_3m,momentum_6m,vol_30d,vol_90d,rsi_14,macd,macd_signal,macd_hist,ema_fast,ema_slow,ema_cross,volume_change,volume_zscore,volume_momentum,mom_vol_interaction,sent_mom_interaction,high_vol_regime,momentum_1m_lag5,range_position,ret_skew_10,ret_kurt_10,ret_skew_30,ret_kurt_30,ticker,future_return_21d,cs_rank,prediction
INFY,EQ,2026-02-24,"1,327.50",1301.0,1303.6,1264.1,"1,280.20",1275.5,"1,277.70",27839061.0,35569925009.7,675579,15953772.0,57.31,-3.0574931770028186,1.9518765516789676,-2.0109797251167145,-1.267753544151952,-2.9433712971065797,1.149709947759389,3.7344860117949312,2.6160771410907584,-0.6096785282113864,1.9464210978702219,-3.0574931770028186,1.149709947759389,1.9262726436521171,-0.039171374764595,-0.0831656124209315,-0.2419920366078326,-2.680743718959385,-1.1204731666676042,-0.6536662871495668,0.06619289555327776,-0.018216487556546788,-2.7323827075192737,-73.83859624252659,-54.467981964317424,-0.8298674329581238,1443.6232472230429,1520.978722808547,-1.00524937790007,-0.2956867654978631,0.5505992774573607,0.15962273918696895,-0.020155605141534028,1.7245859774593655,0.32179119145802715,-2.4104640727343707,0.103023516237402,-1.2349732902057495,1.7545543183423937,-0.5647346762664974,0.9192505380089424,INFY,-0.004547236377891006,0.9052631578947369,0.01827322338789725
SIEMENS,EQ,2026-02-24,"3,302.20",3305.0,3391.9,3274.2,"3,371.50",3365.6,"3,327.08",532121.0,1770409653.8,36975,197274.0,37.07,0.18982926034666225,-0.33736137930253757,0.22725930850986828,0.16478378927238427,0.13586131179552524,0.11915106484902042,-0.3361598527213304,-0.3782280203986639,1.8233187268513344,-0.8058964341275568,0.18982926034666225,0.11915106484902042,-0.5136727049738978,0.0191993216643449,0.0562390158172232,0.1629578438147891,1.145528127350028,0.312276423095338,0.14377338424671063,0.1722012046586563,0.10097203962034787,0.05501896583889465,41.63869750503636,29.28433124627057,0.07254109481280108,3170.0633904330048,3129.611818277156,0.9843066825271518,-1.0285684120556513,2.840392585158035,2.500798053277172,2.7626888781994006,-0.1361232112038041,0.32179119145802715,0.7415881880100024,0.9488117001828152,0.41153524555916166,-0.9810338683985554,-0.043413624243757436,-0.7963060571705054,SIEMENS,-0.09409912051342995,0.5684210526315789,0.016132414267950576
TECHM,EQ,2026-02-24,"1,440.90",1420.0,1423.2,1335.3,"1,352.00",1345.4,"1,359.59",7441035.0,10116774291.5,174695,4315628.0,58.0,-2.9741900711368423,1.9518765516789676,-2.966545820122113,-3.8112857817814736,-1.9802381077860864,-1.521985707392875,3.152965174006894,2.6160771410907584,-0.6096785282113864,1.9464210978702219,-2.9741900711368423,-1.521985707392875,1.9262726436521171,-0.0662780206815184,-0.1170757317233232,-0.2290413156839148,-2.5583755414237315,-0.6945973412627843,-0.5104929398474718,0.00720375701699663,-0.18791468692372343,-2.5257009666230403,-49.570152154223706,-20.97137275937726,-1.1329164934026903,1547.3682123966985,1580.8424517526885,-1.00524937790007,0.7395141616622227,0.5661406556090333,0.7655984604038661,-0.04021629014019709,4.751967798769325,0.32179119145802715,-1.6677567868804042,0.0257075471698115,-1.605204062685398,2.0148932057787077,-0.07762119301656711,0.08769882706802724,TECHM,0.03433922996878236,0.9789473684210527,0.014109899437611635
PNB,EQ,2026-02-24,130.27,130.25,132.1,129.3,131.0,131.03,130.81,20878598.0,2731103685.39,80397,7042029.0,33.73,-2.2884366255402844,1.9518765516789676,2.4703163135438326,3.6002901234569666,0.8638754488463128,2.4993599802335296,2.7168245456658657,2.6160771410907584,-0.6096785282113864,1.9464210978702219,-2.2884366255402844,2.4993599802335296,1.9262726436521171,0.0058340370000766,0.0497516423650057,0.0657177714518095,0.22673059411639657,0.3559790096612946,0.8653803900743916,-0.08307587089990595,-0.07158221203265308,0.5156048224384675,1.0852470713349618,0.0562667907357743,-0.03670022195800877,125.388698527502,123.69145510933892,0.9843066825271518,-0.4963011969137975,0.9475171099174126,1.493288511334621,0.28217183412122665,1.0757161654322946,0.32179119145802715,-0.56603322171702,0.8379446640316218,0.5326404873540982,-1.2381056424064445,-0.20660060593258608,-0.6526454167996344,PNB,-0.19766465694879043,0.05263157894736842,0.013423230787160456
LTIM,EQ,2026-02-24,"4,831.50",4778.0,4780.0,4465.5,"4,521.00",4501.0,"4,565.95",883696.0,4034910094.0,69142,352768.0,39.92,2.4850511594192164,6.530352413641978,-3.1348133835335585,-5.704636292114969,-0.10645993164242375,-0.13094928069583137,2.377604056956177,2.6160771410907584,-0.6096785282113864,1.9464210978702219,2.4850511594192164,-0.13094928069583137,1.9262726436521171,-0.0684052571665114,-0.1284732307096524,-0.2423196700614426,-2.6838394469002074,-1.5138813374523221,-0.6378125611965424,0.21594002977063126,0.048648893935053374,-2.5612107041455374,-289.40641001943004,-204.85002769961,-3.299903333112211,5303.537096967694,5631.562390973339,-1.00524937790007,0.46214285017130735,0.39873049678059075,0.8593490967518391,0.23876734609155406,7.4979327873961426,0.32179119145802715,-2.6788876633260243,0.0440251572327044,-0.7647505925198975,0.572006637447471,-0.6213011097793264,-0.2038069015808752,LTM,-0.06671850699844484,0.7052631578947368,0.012886090433980495
RECLTD,EQ,2026-02-24,352.2,351.0,355.85,347.5,354.9,354.0,351.47,7079250.0,2488156859.0,57926,3894258.0,55.01,0.18982926034666225,-0.33736137930253757,0.22725930850986828,0.16478378927238427,0.13586131179552524,0.11915106484902042,-0.3361598527213304,-0.3782280203986639,-0.6072430955236359,1.447510571554717,0.18982926034666225,0.11915106484902042,1.9262726436521171,0.0051107325383306,-0.0128276631344116,-0.0273389201813435,-0.6525392032595936,-0.01680420724530721,-0.31996466319151917,-0.1284873824621784,-0.08751803170945255,-1.0449988436838111,-3.0192723259863783,-1.601495864133384,-0.11776064846250364,359.0667146316053,361.4055316058857,-1.00524937790007,1.3197008812776412,-1.2227180540891984,-1.0186827117757715,0.40392208617715275,-0.1361232112038041,0.32179119145802715,-0.6392757897711959,0.2655246252676655,0.11992005860955776,-0.5292800573621452,0.13057224417602023,-0.708066866706669,RECLTD,-0.10042372881355932,0.5157894736842106,0.012058622330523742
CANBK,EQ,2026-02-24,156.44,155.95,158.1,155.0,157.11,157.03,156.58,27666076.0,4331947723.67,122167,14530225.0,52.52,0.18982926034666225,-0.33736137930253757,0.22725930850986828,0.16478378927238427,0.13586131179552524,0.11915106484902042,-0.3361598527213304,-0.3782280203986639,-0.5244383841401199,-0.8033866454066486,0.18982926034666225,0.11915106484902042,-0.5136727049738978,0.0037714139606239,0.0531151498893434,0.0149301964839709,-0.25314871351288865,0.30010253120346425,1.5875838422416242,0.04412726820636791,-0.006389464172086803,0.6276196500569601,0.4838354534896041,-0.8738686286633657,-0.03164592887016893,150.32954881582427,148.7712383177322,0.9843066825271518,-0.8712289818524213,0.023290888151189612,-0.00866564605003469,0.023544503985033865,-0.1361232112038041,0.32179119145802715,-0.8688968215349461,0.8090430201931521,0.2589516735417044,-1.4080121787254294,-0.38009479878522906,-0.6052362604763865,CANBK,-0.16926701904094765,0.16842105263157894,0.010489092169529604
HAL,EQ,2026-02-24,"4,025.40",4005.0,4032.4,3937.1,"3,953.00",3952.6,"3,972.39",1605651.0,6378266130.4,100642,764811.0,47.63,0.18982926034666225,-0.33736137930253757,0.22725930850986828,0.16478378927238427,0.13586131179552524,0.11915106484902042,-0.3361598527213304,-0.3782280203986639,-0.597501364772634,0.20662460147014924,0.18982926034666225,0.11915106484902042,-0.5136727049738978,-0.0180851592388334,-0.0694509840851305,-0.0910428883523054,-1.2544623342316454,-0.7597040159238105,-0.5509077822528409,0.3028425730973482,0.11021694173226529,-1.519674431906582,-71.36571974689468,-61.2619940211419,-0.05820910213841443,4200.658378577089,4318.547600500951,-1.00524937790007,4.346463613053759,2.6246667234422527,2.1834108608537375,-1.2911324743908803,-0.1361232112038041,0.32179119145802715,-0.9638649721239008,0.0968337730870713,-1.3382834398770285,-0.041712276356665204,-0.05559724856008866,-0.24064362803955772,HAL,-0.09209128168800285,0.5789473684210527,0.010326508963622237
COALINDIA,EQ,2026-02-24,426.0,424.0,432.0,422.1,431.45,430.95,427.73,8950772.0,3828476960.65,95225,4973867.0,55.57,0.18982926034666225,-0.33736137930253757,0.22725930850986828,0.16478378927238427,0.13586131179552524,0.11915106484902042,-0.3361598527213304,-0.3782280203986639,-0.597501364772634,0.20662460147014924,0.18982926034666225,0.11915106484902042,-0.5136727049738978,0.0116197183098591,0.0222986597082195,0.0190352329155829,-0.21436123366486637,0.9919234026463446,0.49805201303636887,0.02220379307611262,-0.06044557677090553,-0.43519027241711106,0.2506633335075321,1.867664155263768,-0.1537932563408978,424.0947738195208,417.19763634627947,0.9843066825271518,-0.7517717385498336,-0.31511119751611644,-0.0685965530683429,-0.03545272692553625,-0.1361232112038041,0.32179119145802715,-0.5005137917387465,0.3530482256596903,1.293658621322499,0.12233139167397176,0.033972721192102096,-0.3594333019608687,COALINDIA,0.032718412808910635,0.968421052631579,0.008669263094428042
BANKBARODA,EQ,2026-02-24,313.35,312.95,314.2,307.0,312.9,313.1,311.38,12952576.0,4033201042.85,77932,6185675.0,47.76,0.18982926034666225,-0.33736137930253757,0.22725930850986828,0.16478378927238427,0.13586131179552524,0.11915106484902042,-0.3361598527213304,-0.3782280203986639,-0.34908723062208596,-0.8058964327286249,0.18982926034666225,0.11915106484902042,-0.5136727049738978,-0.0007978299026647,0.0324814509480626,0.0367549668874171,-0.046931824500052295,0.5163007816457234,1.0964496355357194,-0.10085604375487509,-0.1041681388058588,1.6713941636864396,2.909622641850433,-0.2958439697137989,0.03231020147939716,299.8360019313621,295.39216877528634,0.9843066825271518,-0.8417605502289462,0.5760542107409946,0.3857452268341172,0.09396881062111452,-0.1361232112038041,0.32179119145802715,-0.40914287118352444,0.9575418994413412,1.495358020117894,0.24577680524950768,-1.371793656649083,0.7300037507491106,BANKBARODA,-0.16863621846055576,0.17894736842105263,0.008550372216172462
