Symbol,Series,Date,PrevClose,Open,High,Low,LastPrice,Close,AveragePrice,Volume,TurnoverInRs,No.ofTrades,DeliverableQty,%DlyQttoTradedQty,sent_mean,sent_sum,sent_std,news_count,ret_1d,momentum_1m,momentum_3m,momentum_6m,vol_30d,vol_90d,rsi_14,macd,signal,macd_hist,ema_cross,sent_3d,sent_5d,sent_lag1,news_intensity,momentum_1m_z,momentum_3m_z,momentum_6m_z,vol_30d_z,vol_90d_z,rsi_14_z,macd_hist_z,ema_cross_z,sent_3d_z,sent_5d_z,sent_lag1_z,news_intensity_z
EICHERMOT,EQ,2020-07-06,"18,983.50",19670.0,19670.0,19071.8,"19,240.00",19250.95,"19,270.52",283394.0,5461148983.75,58050,51749.0,18.26,0.0,0.0,0.0,0.0,0.014088550583401416,0.10034666354202693,0.46999824372513554,-0.12796138758278286,0.025220111632383718,0.03592340993378639,81.37605845903175,790.8924447352729,736.2904861591496,54.60195857612325,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
EICHERMOT,EQ,2020-07-07,"19,250.95",19250.95,20055.5,19250.0,"19,999.00",19930.65,"19,606.59",287280.0,5632581285.9,58120,53497.0,18.62,0.0,0.0,0.0,0.0,0.03530734846851713,0.17968789305616828,0.5329382537533842,-0.07732103134830326,0.023688580029728016,0.03610532040159191,83.75048464222633,864.5945732297987,761.9513035732795,102.64326965651924,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
EICHERMOT,EQ,2020-07-08,"19,930.65",19930.65,20100.0,19311.35,"19,415.00",19391.7,"19,647.32",356865.0,7011440805.25,61479,87147.0,24.42,0.0,0.0,0.0,0.0,-0.0270412655884279,0.13888945988247992,0.5293078497324539,-0.08483311112946423,0.02464477934066378,0.035855589844549375,73.40072187316832,869.4923140932588,783.4595056772754,86.03280841598337,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
EICHERMOT,EQ,2020-07-09,"19,391.70",19570.0,19650.0,19298.65,"19,518.00",19483.25,"19,450.14",274201.0,5333248719.75,45903,90270.0,32.92,0.0,0.0,0.0,0.0,0.0047210920135933865,0.1400346985526666,0.48771957956788503,-0.06601966879909116,0.02005372884445617,0.03575959058712887,72.60199974579501,870.7239650365009,800.9123975491206,69.81156748738033,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
EICHERMOT,EQ,2020-07-10,"19,483.25",19500.0,19745.0,19350.0,"19,465.00",19447.85,"19,543.50",204423.0,3995141431.75,39497,32951.0,16.12,0.0,0.0,0.0,0.0,-0.0018169453248303435,0.1827578028073078,0.4779686134437815,-0.06517799632759402,0.019953729747740786,0.03567617208354068,70.57944380480023,858.9422218719592,812.5183624136884,46.42385945827084,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
EICHERMOT,EQ,2020-07-13,"19,447.85",19610.0,19729.0,19450.0,"19,634.10",19655.0,"19,610.16",133183.0,2611740599.35,28736,26191.0,19.67,0.0,0.0,0.0,0.0,0.010651563026247146,0.16596370711798447,0.43025548852812134,-0.011924271825137556,0.019590257191093655,0.03567714195387909,69.94696190077687,856.4477823912275,821.3042464091961,35.14353598203138,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
EICHERMOT,EQ,2020-07-14,"19,655.00",19655.0,19659.6,18694.55,"18,776.00",18850.15,"19,075.86",247507.0,4721407999.95,60920,56051.0,22.65,0.0,0.0,0.0,0.0,-0.04094886797252595,0.143684454812689,0.4066698754901852,-0.07274126981784557,0.020960038356711036,0.03584040482136127,54.41512658903966,780.528802371955,813.1491576017479,-32.62035522979295,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
EICHERMOT,EQ,2020-07-15,"18,850.15",19010.0,19199.0,18465.0,"18,600.00",18562.55,"18,730.54",282360.0,5288754221.55,64078,73244.0,25.94,0.0,0.0,0.0,0.0,-0.015257173019843417,0.11092791032404592,0.3941186189907546,-0.09152952979897477,0.021189181748780588,0.03580378143730837,55.10444725711007,689.2107547514752,788.3614770316934,-99.15072228021825,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
EICHERMOT,EQ,2020-07-16,"18,562.55",18600.0,19039.0,18325.0,"18,646.00",18639.55,"18,652.36",265455.0,4951361899.25,61510,43738.0,16.48,0.0,0.0,0.0,0.0,0.004148136974715166,0.10970509351455782,0.3939916313610816,-0.08089003944773177,0.020931811832304914,0.03540922453413984,51.924703156675335,615.9534723735887,753.8798761000726,-137.92640372648384,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
EICHERMOT,EQ,2020-07-17,"18,639.55",18710.0,19123.0,18651.45,"18,875.50",18810.8,"18,898.90",167217.0,3160217398.7,37558,21465.0,12.84,0.0,0.0,0.0,0.0,0.009187453559769354,0.09901525176661674,0.27355140534923006,-0.08193873019126685,0.02088108571206289,0.0352036828591631,58.44679717026841,565.1997215376505,716.1438451875881,-150.94412364993764,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
