symbol,series,Date,prevclose,Open,High,Low,lastprice,Close,averageprice,Volume,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty,news_sent,news_count,sent_3d,sent_7d,sent_momentum,sent_surprise,news_intensity,news_event,days_since_news,news_decay_weight,sent_weighted,surprise_weighted,is_recent_news,ret_1d,ret_5d,ret_21d,momentum_1m,momentum_3m,momentum_6m,vol_30d,vol_90d,rsi_14,macd,macd_signal,macd_hist,ema_fast,ema_slow,ema_cross,volume_change,volume_zscore,volume_momentum,range_position,ret_skew_10,ret_kurt_10,ret_skew_30,ret_kurt_30,ticker
SUNPHARMA,EQ,2020-07-27,485.6,484.85,487.6,469.0,473.25,475.5,474.79,6112630.0,2902188102.0,84097,1641926.0,26.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,999.0,1.6902950347645113e-87,0.0,0.0,0,-0.020799011532125267,-0.017155849524596922,-0.009271799145744275,-0.009271799145744275,-0.029393753827311686,0.06542684293076406,0.014387535721524689,0.029463174050245868,53.28467153284674,0.9988365147672766,3.0745492340948575,-2.60030016601252,483.8011308669422,476.4068028747217,1.0,2.657939766461275,3.088498635581473,2.407458955595843,0.44815668202765047,-1.1369798388716823,1.335924568172614,-1.0484348982930456,1.1857232894105652,SUNPHARMA
SUNPHARMA,EQ,2020-07-28,475.5,475.5,483.75,473.25,483.0,482.6,480.41,5917310.0,2842747216.15,67417,1490621.0,25.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,999.0,1.6902950347645113e-87,0.0,0.0,0,0.014931650893796,0.011210057621791503,0.0012448132780082943,0.0012448132780082943,0.01825087034497308,0.07280204512615307,0.014728003387975325,0.02834743201581487,47.94745484400657,0.18530287558951386,2.6594066902293414,-2.075712719327581,483.6867374510429,476.6496733502228,1.0,-0.691477100516768,-0.564153029989043,0.748734374904305,0.21543778801843352,-0.6234531996926597,0.09944768832384909,-0.8678011655556606,0.6163528730502249,SUNPHARMA
SUNPHARMA,EQ,2020-07-29,482.6,485.7,496.3,484.15,492.9,493.0,491.22,8531989.0,4191068703.6,102102,1897815.0,22.24,-0.9001821875572205,1.0,-0.7507819334665934,-0.34051864487784245,-0.41026328858875094,-0.45346445696694515,1.0,1,0.0,1.0,-0.9001821875572205,-0.45346445696694515,1,0.02154993783671766,0.03942652329749108,0.04239348768368756,0.04239348768368756,0.032136501622527014,0.10093791871371138,0.014971316835287025,0.027992681296878187,50.052521008403374,0.11218902295064481,2.1645859273013763,-2.4741038146398275,484.57371483665787,477.2908626306062,1.0,-0.0319535126451298,-0.5725216452408064,0.7240097541040772,0.3790322580645169,-0.9889464867499007,0.5321058710859704,-0.9262724577718958,0.5882374210552019,SUNPHARMA
SUNPHARMA,EQ,2020-07-30,493.0,493.2,513.2,487.3,511.2,509.95,501.32,17535910.0,8791105327.25,202780,5739016.0,32.73,-0.9001821875572205,1.0,-0.7507819334665934,-0.34051864487784245,-0.41026328858875094,-0.45346445696694515,1.0,1,0.0,1.0,-0.9001821875572205,-0.45346445696694515,1,0.034381338742393464,0.07132352941176467,0.08928762148883918,0.08928762148883918,0.09796533534287866,0.13726583407671722,0.015460139890405575,0.028057978098848208,55.259400285578295,0.8832572122170177,1.7541065464312302,-2.0523969043507315,486.9905038998333,478.5716131156805,1.0,0.44186953193258427,0.13514296495083478,1.0427589027172177,0.6021634615384615,-0.8690348804055272,0.11566944070697208,-0.8599674175716582,0.40709431053075107,SUNPHARMA
SUNPHARMA,EQ,2020-07-31,509.95,514.25,541.0,507.5,537.8,531.7,522.62,41253779.0,21560239683.8,469087,6992350.0,16.95,-0.9001821875572205,1.0,-0.7507819334665934,-0.34051864487784245,-0.41026328858875094,-0.45346445696694515,1.0,1,0.0,1.0,-0.9001821875572205,-0.45346445696694515,1,0.04265124031767842,0.09493410214168052,0.12410147991543341,0.12410147991543341,0.14233537436889043,0.17398984323250177,0.016622520287043478,0.028130081095133326,57.29213993639255,2.829441608796458,1.5799366795883878,-0.8708493342142125,491.2485511474682,480.65507926800683,1.0,1.0553132452468001,2.269246775830328,2.008184499756763,0.9264705882352929,-0.5018794038043841,-0.25966640782048145,-0.6225628165399599,0.35898101239241076,SUNPHARMA
SUNPHARMA,EQ,2020-08-03,531.7,534.1,540.2,516.8,520.8,519.4,527.55,25348260.0,13372480935.6,235677,5725772.0,22.59,-0.9001821875572205,1.0,-0.7507819334665934,-0.34051864487784245,-0.41026328858875094,-0.45346445696694515,1.0,1,0.0,1.0,-0.9001821875572205,-0.45346445696694515,1,-0.023133345871732325,0.09232386961093586,0.08923141449092986,0.08923141449092986,0.13828621520929207,0.15396578538102634,0.018194042469019244,0.028396339851796508,62.69841269841271,6.057028339919441,1.829837665430002,1.24950492920807,493.929641514376,482.17448792416343,1.0,1.3525314055557995,4.404889302457137,3.9218486347743853,0.870833333333334,-0.3048067869359572,-0.6697575154907389,-0.264406534829689,0.35672324792150323,SUNPHARMA
SUNPHARMA,EQ,2020-08-04,519.4,522.0,532.4,517.25,529.25,528.95,525.05,11950188.0,6274448713.55,152594,2454218.0,20.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.8187307530779818,0.0,0.0,1,0.01838659992298819,0.09604227103191043,0.10152019991670147,0.10152019991670147,0.16406250000000022,0.19644876724722926,0.01874569433957807,0.028531560184801973,60.44376434583011,7.535541837637879,2.67527580032789,4.227190674489439,497.2649137511021,484.008821731059,1.0,-0.3855530180641148,1.966181568853045,2.203465609842347,0.6999999999999997,0.07672329201472486,-1.311701320887991,-0.15215704093710983,0.032219938281046884,SUNPHARMA
SUNPHARMA,EQ,2020-08-05,528.95,537.9,538.0,527.05,529.75,528.85,532.83,10928710.0,5823144347.55,113267,2579640.0,23.60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.6703200460356393,0.0,0.0,1,-0.00018905378580214016,0.07271805273833687,0.1034950443401148,0.1034950443401148,0.16950464396284848,0.21770665438636883,0.018844346073199486,0.02575394797054817,62.33151183970855,9.369869599808794,3.647329007789888,4.860266037309989,500.27301720337806,485.76729931023317,1.0,-0.5285598301421872,0.23019725435728863,1.0138120272516788,0.8326388888888895,-0.32410897801702526,-0.8207107100775453,-0.1575729199220467,-0.017548352861667425,SUNPHARMA
SUNPHARMA,EQ,2020-08-06,528.85,533.9,541.45,526.15,532.75,532.25,534.6,10920296.0,5837958092.85,117487,2462359.0,22.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.5488116360940264,0.0,0.0,0,0.006429044152406194,0.043729777429159844,0.10310880829015545,0.10310880829015545,0.13486140724946694,0.25886944181646165,0.017721008884506166,0.025598894889534183,60.979284369114865,10.692264631711282,4.791837126193669,5.722540592018906,503.3184441363897,487.590150317675,1.0,-0.0854779857856629,0.0882668107935265,0.9119191555416225,0.8312500000000003,-0.4003388714384596,-0.5363463463616114,-0.11951895158217943,0.3330807245100602,SUNPHARMA
SUNPHARMA,EQ,2020-08-07,532.25,532.3,535.45,522.6,526.0,525.95,527.09,7275659.0,3834958352.65,86632,1937179.0,26.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.44932896411722156,0.0,0.0,0,-0.011836542977923803,-0.01081436900507804,0.0912957775702874,0.0912957775702874,0.1338794869030937,0.25960962758951034,0.017719104491928827,0.025372489588606315,60.83175803402644,11.877705017028404,5.971922627297192,5.900427505517613,505.4738304091145,489.0944581483544,1.0,-0.0007698987346173025,0.07032876830135323,0.8947183959739855,0.8730158730158725,-0.45069522304427645,-0.4375892904109279,-0.11793060004382014,0.33435078644326915,SUNPHARMA
