symbol,series,Date,prevclose,Open,High,Low,lastprice,Close,averageprice,Volume,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty,news_sent,news_count,sent_3d,sent_7d,sent_momentum,sent_surprise,news_intensity,news_event,days_since_news,news_decay_weight,sent_weighted,surprise_weighted,is_recent_news,ret_1d,ret_5d,ret_21d,momentum_1m,momentum_3m,momentum_6m,vol_30d,vol_90d,rsi_14,macd,macd_signal,macd_hist,ema_fast,ema_slow,ema_cross,volume_change,volume_zscore,volume_momentum,mom_vol_interaction,sent_mom_interaction,high_vol_regime,momentum_1m_lag5,range_position,ret_skew_10,ret_kurt_10,ret_skew_30,ret_kurt_30,ticker
UNIONBANK,EQ,2020-07-06,32.05,32.35,32.5,32.1,32.2,32.2,32.24,2888852.0,93138084.65,7249,1157938.0,40.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,999.0,1.6902950347645113e-87,0.0,0.0,0,0.004680187207488418,-0.016793893129770865,0.060955518945634335,0.060955518945634335,0.12195121951219523,-0.4097158570119156,0.03917610165087735,0.03887413938465935,59.58904109589039,1.483826635101508,1.5924465862552395,0.0030211369251935682,31.16843783466814,30.03986681257541,1.0,-0.21777885523260265,-0.8145469397048523,0.3308190151068033,-0.04965113141528759,0.0,1,0.38477801268498957,0.5238095238095236,0.16378729176850387,0.46918498334108805,0.19769052196382259,0.6512793998533857,UNIONBANK
UNIONBANK,EQ,2020-07-07,32.2,32.4,32.4,32.0,32.15,32.15,32.12,2295939.0,73755924.75,6206,914959.0,39.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,999.0,1.6902950347645113e-87,0.0,0.0,0,-0.0015527950310559868,0.011006289308175932,0.08798646362098128,0.08798646362098128,0.11826086956521742,-0.41704442429737076,0.03887756486177323,0.038794174836464614,61.458333333333336,1.39188805039716,1.5707225960244933,-0.10861995115373158,31.261919945652124,30.122617133650888,1.0,0.047155589048851976,-0.7877064262502199,0.3579347253482418,-0.06930750281727815,0.0,1,0.24705882352941178,0.5396825396825401,0.3943816474248417,2.2591777119093015,0.15949190606338884,0.7513549412541881,UNIONBANK
UNIONBANK,EQ,2020-07-08,32.15,32.3,34.0,32.15,32.6,32.5,33.33,13532163.0,451017153.1,31458,3412382.0,25.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,999.0,1.6902950347645113e-87,0.0,0.0,0,0.010886469673405896,0.0,0.14436619718309873,0.14436619718309873,0.13636363636363624,-0.406392694063927,0.03891683093759721,0.03879327770281101,60.97560975609754,1.3000058196413633,1.5349556868990266,-0.17883454562733325,31.379832331780495,30.215847834292028,1.0,-0.2052417361637079,-0.8962805390786951,0.29743540464550605,-0.12939261303600894,0.0,1,0.267056530214425,0.5343915343915343,-1.5484941550729925,2.7613730497314717,0.1683042391225006,0.7377575833136746,UNIONBANK
UNIONBANK,EQ,2020-07-09,32.5,32.8,33.15,32.5,32.75,32.7,32.79,3650680.0,119691365.15,8594,992168.0,27.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,999.0,1.6902950347645113e-87,0.0,0.0,0,0.006153846153846176,0.0092592592592593,0.11604095563139949,0.11604095563139949,0.12758620689655187,-0.38243626062322944,0.03891268817098136,0.03855331481678285,60.83916083916083,1.2411236636971807,1.487965713447494,-0.23494986725766331,31.505562585896637,30.313265566280574,1.0,4.8939558063171535,0.9443009380051708,1.696660995237081,0.10957758324974694,0.0,1,0.16129032258064524,0.5714285714285715,-0.7052455434400123,-0.5156627486714349,0.18044442554007945,0.7425082664872255,UNIONBANK
UNIONBANK,EQ,2020-07-10,32.7,32.5,32.6,31.75,32.05,32.05,32.08,3550543.0,113917087.35,11052,1402633.0,39.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,999.0,1.6902950347645113e-87,0.0,0.0,0,-0.01987767584097877,0.0,0.11478260869565204,0.11478260869565204,0.10517241379310338,-0.3918406072106263,0.03891417661950499,0.0385631515494974,57.57575757575757,1.196801476975132,1.4385973034974315,-0.2468420497503132,31.557413768192195,30.381372798975455,1.0,-0.7302219903795129,-0.7278847694684907,0.46297860519327194,-0.08354851266942666,0.0,1,0.09948542024013718,0.592592592592593,-0.6722557520832458,-0.3899704771763903,0.18122570805968255,0.7420998748475793,UNIONBANK
UNIONBANK,EQ,2020-07-13,32.05,32.1,32.45,31.35,31.7,31.55,31.67,2943967.0,93244875.9,9230,1026185.0,34.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,999.0,1.6902950347645113e-87,0.0,0.0,0,-0.015600624024960874,-0.02018633540372672,0.10122164048865634,0.10122164048865634,0.09548611111111116,-0.39268527430221367,0.039345795888101734,0.03856164328808786,46.80851063829788,1.0965855018854889,1.3902381381929718,-0.24179582652229947,31.556707695031037,30.427201316662693,1.0,-0.027429684332781812,-0.7549290355328165,0.45818937756095146,-0.07641515542915082,0.0,1,0.060955518945634335,0.4827586206896549,-0.23917910593107844,-0.8244721822947295,0.23903384390370339,0.6076334333017779,UNIONBANK
UNIONBANK,EQ,2020-07-14,31.55,31.2,31.4,30.25,30.45,30.45,30.59,3246712.0,99310124.0,14491,1321195.0,40.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,999.0,1.6902950347645113e-87,0.0,0.0,0,-0.03486529318541998,-0.0528771384136858,0.0410256410256411,0.0410256410256411,0.07407407407407396,-0.4205518553758325,0.037497002601369664,0.03853157903771473,25.82417582417588,0.9656859715231079,1.3315076109314752,-0.29365263630748295,31.451306962170936,30.428095382675924,1.0,-0.17084034751867527,-0.8253552027519878,0.38386692379697296,-0.033860726266748284,0.0,1,0.08798646362098128,0.4252873563218392,-0.05117835959569202,-0.48663964044765756,0.3181778326573842,1.0859023661349865,UNIONBANK
UNIONBANK,EQ,2020-07-15,30.45,30.7,31.0,30.1,30.2,30.15,30.52,2398575.0,73195124.95,7927,801716.0,33.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,999.0,1.6902950347645113e-87,0.0,0.0,0,-0.009852216748768461,-0.0723076923076924,0.04325259515570945,0.04325259515570945,0.041450777202072464,-0.4273504273504274,0.03829802726960747,0.03778120356392365,32.86713286713294,0.7643751033300994,1.2583432830498018,-0.3658216394083673,31.3273729657737,30.417189681394518,1.0,0.10283573151465353,-0.7713627435431715,0.4370840943761006,-0.03336344046467013,0.0,1,0.14436619718309873,0.2781065088757395,-0.3409721445605251,0.026072473955855355,0.36162350669338,0.8422015792766807,UNIONBANK
UNIONBANK,EQ,2020-07-16,30.15,30.15,30.2,29.6,29.9,29.9,29.77,2581989.0,76872196.8,6836,927507.0,35.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,999.0,1.6902950347645113e-87,0.0,0.0,0,-0.008291873963515717,-0.08562691131498479,0.03103448275862064,0.03103448275862064,0.020477815699658564,-0.4310180780209324,0.03517252377646209,0.03773162167424271,27.659574468085196,0.5740104618303903,1.1595496471058613,-0.4939681797197024,31.191432683319064,30.396907733104538,1.0,-0.2612295146597542,-0.8540568609177973,0.3311262316068017,-0.02650521292503505,0.0,1,0.11604095563139949,0.16339869281045755,-0.6706314884430495,0.2870710151805095,0.3052571147456892,1.3961758029790583,UNIONBANK
UNIONBANK,EQ,2020-07-17,29.9,29.9,31.65,29.75,31.35,31.3,30.58,4796821.0,146706996.1,11050,1619829.0,33.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,999.0,1.6902950347645113e-87,0.0,0.0,0,0.04682274247491636,-0.023400936037441422,0.06462585034013624,0.06462585034013624,0.07560137457044669,-0.40380952380952384,0.03433177964694629,0.03773868332399377,20.74074074074082,0.3983799254778475,1.042441810050767,-0.585539185275471,31.20177242776487,30.432323116120045,1.0,0.07646790281729787,-0.7677069988774632,0.3598644726384097,-0.049613717614530074,0.0,1,0.11478260869565204,0.08275862068965492,-0.5445045138481776,0.2505955044093641,0.42687983432395465,1.8674985851454826,UNIONBANK
UNIONBANK,EQ,2020-07-20,31.3,31.55,31.7,30.85,31.1,31.05,31.22,4122434.0,128702945.75,10919,911676.0,22.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,999.0,1.6902950347645113e-87,0.0,0.0,0,-0.007987220447284393,-0.015847860538827252,0.01140065146579805,0.01140065146579805,0.05254237288135588,-0.41025641025641024,0.034572322499823505,0.038078116997110854,39.716312056737635,0.3679186229169922,0.9136294331361832,-0.6440618845729196,31.18731791083488,30.4565457390173,1.0,0.8578007110022545,-0.36744600129848454,0.6641554074969676,-0.0041891237933052005,0.0,1,0.10122164048865634,0.24460431654676265,1.0055729408322915,2.275468326961732,0.42805267845572165,1.7653110024137164,UNIONBANK
UNIONBANK,EQ,2020-07-21,31.05,31.65,31.85,31.0,31.05,31.15,31.29,2655947.0,83114293.0,7341,857649.0,32.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,999.0,1.6902950347645113e-87,0.0,0.0,0,0.0032206119162641045,0.02298850574712641,-0.05030487804878048,-0.05030487804878048,0.10657193605683846,-0.409478672985782,0.03422090810853922,0.0369605951981076,44.0944881889764,0.3199171052648495,0.8044872710923451,-0.545710810219191,31.1837638240887,30.483740023761722,1.0,-0.14059040351933083,-0.4510339789820466,0.613171250442307,0.02268920930854807,-0.0,1,0.0410256410256411,0.2086330935251799,1.2258810995038945,2.7686501380907527,0.4031864486225262,1.9240145681737044,UNIONBANK
UNIONBANK,EQ,2020-07-22,31.15,31.25,31.35,30.55,30.8,30.8,30.85,2261959.0,69789520.1,6171,788500.0,34.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,999.0,1.6902950347645113e-87,0.0,0.0,0,-0.011235955056179692,0.021558872305140975,-0.14325452016689855,-0.14325452016689855,0.08260105448154653,-0.4144486692015209,0.03332762569875434,0.036226636781614925,38.260869565217426,0.2866405076141376,0.707573237926846,-0.48457016582749557,31.147214888461207,30.49614237577107,1.0,-0.3557332876645205,-0.6655290124537295,0.43504409893600676,0.09534003933620887,-0.0,1,0.04325259515570945,0.22463768115941993,1.132104662153793,2.4860791722477975,0.3703788605583086,2.3279782759984875,UNIONBANK
UNIONBANK,EQ,2020-07-23,30.8,30.75,31.25,30.6,30.85,30.85,30.9,2765242.0,85456379.45,6420,945848.0,34.20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,999.0,1.6902950347645113e-87,0.0,0.0,0,0.0016233766233766378,0.03177257525083621,-0.06231003039513672,-0.06231003039513672,0.08626760563380298,-0.40673076923076923,0.03300069429365765,0.035315958040869504,36.66666666666672,0.229382312786786,0.6233866918643044,-0.4209327303127084,31.11890870860776,30.510019145348675,1.0,-0.1483418155558074,-0.7077117460396936,0.4503518348600368,0.044097540406728586,-0.0,1,0.03103448275862064,0.2068965517241379,1.543987111405303,3.8953162940273347,0.49484242645704335,2.620021276426816,UNIONBANK
UNIONBANK,EQ,2020-07-24,30.85,30.7,30.75,30.3,30.55,30.55,30.51,2084425.0,63604504.95,6715,768112.0,36.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,999.0,1.6902950347645113e-87,0.0,0.0,0,-0.00972447325769854,-0.02396166134185307,-0.08258258258258244,-0.08258258258258244,0.10488245931283924,-0.4096618357487922,0.03276327862920011,0.035193344248370194,39.473684210526386,0.18589646427205864,0.5445858160488007,-0.3940043790775184,31.06472692683559,30.51158702200167,1.0,0.2224987278726096,-0.5988151228158275,0.6828262457060761,0.049451699331637324,-0.0,1,0.06462585034013624,0.21551724137931044,1.6550525445160706,4.436459629538741,0.44864363130671786,2.7415498810007874,UNIONBANK
UNIONBANK,EQ,2020-07-27,30.55,30.4,30.55,29.5,29.6,29.55,29.7,3252249.0,96584231.75,13114,1408976.0,43.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,999.0,1.6902950347645113e-87,0.0,0.0,0,-0.032733224222585955,-0.048309178743961345,-0.12703101920236337,-0.12703101920236337,0.07650273224043724,-0.4262135922330097,0.032824779004456454,0.03293275334786241,35.89743589743591,0.12577625287992333,0.47284794569345234,-0.3586893517767421,30.920467219517914,30.473877727021215,1.0,-0.24620521458881361,-0.6934342844677783,0.5410773305317693,0.08808766390580346,-0.0,1,0.01140065146579805,0.21590909090909083,1.6425844321982233,4.765572872146104,0.4646967045387718,2.710219629037864,UNIONBANK
