symbol,series,Date,prevclose,Open,High,Low,lastprice,Close,averageprice,Volume,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty,concall_count,concall_pos_ratio,concall_neg_ratio,concall_net_tone,concall_tone_intensity,concall_tone_surprise,concall_guidance_flag,ret_1d,ret_5d,ret_21d,momentum_1m,momentum_3m,momentum_6m,vol_30d,vol_90d,rsi_14,macd,macd_signal,macd_hist,ema_fast,ema_slow,ema_cross,volume_change,volume_zscore,volume_momentum,range_position,ret_skew_10,ret_kurt_10,ret_skew_30,ret_kurt_30
NTPC,EQ,2020-07-20,88.3,88.9,88.9,87.0,87.2,87.15,87.6,12349625.0,1081815247.0,62736,5562533.0,45.04,0,0,0,0,0,0,0,-0.013023782559456354,-0.03058954393770852,-0.06290322580645158,-0.06290322580645158,-0.11880687563195147,-0.2963262010496568,0.01929276869191187,0.029007788165540085,29.7546012269938,-1.8374466206036146,-0.9413319183303704,-1.0562358934854728,91.12032617558914,92.98066187273601,0.0,0.20555648524684988,-0.4483651740780748,0.6481680829415525,0.13649025069637896,0.10407875251325303,-0.8854692082101013,0.7315458217151072,2.1868625584418604
NTPC,EQ,2020-07-21,87.15,88.0,88.65,86.8,88.55,88.35,87.7,20122602.0,1764709742.5,82081,9290660.0,46.17,0,0,0,0,0,0,0,0.013769363166953319,0.007986309184255358,-0.07292759706190977,-0.07292759706190977,-0.09198355601233299,-0.2725401399752986,0.019287898220176583,0.029031668142975434,23.8670694864048,-1.9483009228142265,-1.1205548587850194,-0.8961147022732442,90.85648558743779,92.79906728949146,0.0,0.008983576271547777,-0.4315735649689478,0.6564526427188846,0.07242339832869144,0.5197529879002516,-0.049476395779724465,0.8294654800555902,2.310807826908242
NTPC,EQ,2020-07-22,88.35,88.75,92.6,88.7,90.45,90.35,90.91,31321868.0,2847522894.5,112056,9965689.0,31.82,0,0,0,0,0,0,0,0.022637238256932646,0.0261215218625781,-0.10322580645161294,-0.10322580645161294,-0.07428278688524592,-0.2545379537953796,0.019551854422845908,0.028972973628922226,33.118971061093205,-1.9172232288446054,-1.286104071590861,-0.8277460640292071,90.80824886482466,92.7030254350016,0.0,0.6294099618409466,0.2727216046557197,1.0662454392878662,0.13927576601671307,0.32885935719402176,-0.8627636642910045,0.7175853188780246,1.9235288631274605
NTPC,EQ,2020-07-23,90.35,90.9,91.6,90.25,90.6,90.55,90.92,11161644.0,1014863057.9,38409,3617882.0,32.41,0,0,0,0,0,0,0,0.0022136137244050946,0.043804034582132445,-0.06697578567748586,-0.06697578567748586,-0.0488445378151261,-0.23424947145877384,0.02010238986326734,0.02900519428138104,41.210374639769405,-1.7114817509043547,-1.4123279030416098,-0.6311191572537445,90.78365373484137,92.61859306500155,0.0,0.5565515831401924,1.224985058124233,1.6148913842485089,0.35433070866141725,0.07538757288555477,-1.0325589550558232,0.6262265733871892,1.377572024370072
NTPC,EQ,2020-07-24,90.55,90.3,90.5,88.55,89.35,89.4,89.4,11352908.0,1014918101.45,43212,3680942.0,32.42,0,0,0,0,0,0,0,-0.012700165654334516,0.012457531143827971,-0.06971904266389162,-0.06971904266389162,-0.04282655246252676,-0.2368758002560819,0.020119601880171447,0.02900603025953715,37.99392097264435,-1.5148298037898655,-1.472158672614159,-0.2991538478627449,90.651877188666,92.49237372911914,0.0,-0.6436469242511333,-0.6091649344290093,0.5942836387356634,0.3852459016393444,0.07501460445384946,-1.0328736019908864,0.6078841742349799,1.3464291439083387
NTPC,EQ,2020-07-27,89.4,89.55,89.6,87.25,87.9,87.65,87.86,10071266.0,884884438.35,42792,4135901.0,41.07,0,0,0,0,0,0,0,-0.01957494407158833,0.005737234652897216,-0.09639175257731958,-0.09639175257731958,-0.05089334055224681,-0.21845742309407046,0.02013581881065633,0.027641830746743125,32.8402366863905,-1.4352326394831891,-1.4806928988493002,-0.042671131175706645,90.36598412307877,92.30247672013408,0.0,0.017135826944489452,-0.5935509376255548,0.7085236803000939,0.2909836065573779,0.12124717368584632,-1.187739578782195,0.6103283441653093,1.3367818701483025
NTPC,EQ,2020-07-28,87.65,87.9,88.8,86.9,88.5,88.55,87.65,13888285.0,1217334374.35,47189,4875417.0,35.10,0,0,0,0,0,0,0,0.01026811180832854,0.002263723825693287,-0.06691253951527931,-0.06691253951527931,-0.01992252351964574,-0.2198237885462555,0.019266078238909832,0.027393009221395443,34.687499999999986,-1.4961154009012319,-1.4716008469760782,0.04546025936611109,90.19303325421413,92.1553207703249,0.0,-0.11289107601329984,-0.706114465914353,0.6389843637911572,0.15126050420168155,0.22978670634572496,-1.5352309644825723,0.8024772684221823,1.639695763758035
NTPC,EQ,2020-07-29,88.55,88.5,89.65,87.9,88.25,88.15,88.7,10733683.0,952130921.65,36774,3930159.0,36.62,0,0,0,0,0,0,0,-0.004517221908526214,-0.02434975096845593,-0.07985386221294355,-0.07985386221294355,-0.022727272727272707,-0.2318082788671023,0.01938588736352212,0.026284861050746764,42.01954397394133,-1.454970950150127,-1.476503757761109,-0.02451455392515367,89.99845865857469,91.99824936756707,0.0,0.37900091209982945,-0.37852498018299696,0.8926141978673047,0.2559241706161137,-0.03513979748867194,-1.6648753239665415,0.7163356641235178,1.4373084015530726
NTPC,EQ,2020-07-30,88.15,88.55,89.0,86.1,86.75,86.6,87.26,10670653.0,931140854.05,51346,4467020.0,41.86,0,0,0,0,0,0,0,-0.01758366420873525,-0.04362230811706247,-0.07478632478632474,-0.07478632478632474,-0.08890057864281964,-0.2346442775077332,0.01924966836316841,0.026097364727712628,40.19292604501605,-1.4380632357422627,-1.4721971962389129,0.021532807610982196,89.67479592918662,91.78655331393699,0.0,-0.22714122010024995,-0.6438055212888706,0.7066534920734275,0.21800947867298662,0.18057044259983193,-1.6657267460454963,0.6890868478997701,1.5120656764526874
NTPC,EQ,2020-07-31,86.6,86.9,87.6,86.3,87.0,87.0,86.87,7906812.0,686835753.8,36705,2614545.0,33.07,0,0,0,0,0,0,0,0.004618937644341958,-0.02684563758389269,-0.0685224839400429,-0.0685224839400429,-0.04866047020229636,-0.22356091030789826,0.019285830028213696,0.02451369747422717,38.34355828220852,-1.5320749895738004,-1.465370404139583,0.034133960496650184,89.42005345974027,91.59884534084142,0.0,-0.0058721689470426774,-0.6274878822594664,0.727520710596482,0.07109004739336486,0.15309003734242846,-1.6857174017589618,0.818029049745601,1.6647801349673794
