symbol,series,Date,prevclose,Open,High,Low,lastprice,Close,averageprice,Volume,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty,concall_count,concall_pos_ratio,concall_neg_ratio,concall_net_tone,concall_tone_intensity,concall_tone_surprise,concall_guidance_flag,ret_1d,ret_5d,ret_21d,momentum_1m,momentum_3m,momentum_6m,vol_30d,vol_90d,rsi_14,macd,macd_signal,macd_hist,ema_fast,ema_slow,ema_cross,volume_change,volume_zscore,volume_momentum,range_position,ret_skew_10,ret_kurt_10,ret_skew_30,ret_kurt_30,ticker
SHREECEM,EQ,2020-07-06,"22,872.65",22879.0,23215.0,22850.75,"23,051.65",23111.15,"22,998.80",84877.0,1952069123.75,12527,39075.0,46.04,0,0,0,0,0,0,0,0.010427300728162336,0.034428507807062525,0.0462457446037956,0.0462457446037956,0.31714858075896135,0.137365341364869,0.021597164506151297,0.032356702967059316,58.1980378537941,602.2808693744337,621.6275241882399,-17.66212751883404,22198.79666650776,21260.079727608674,1.0,-0.2511880999904952,-1.530737337239242,0.4564524650680292,0.8261026615969588,0.12988647685279917,-1.2798655286351628,0.15766643197464073,-0.3143807208180644,SHREECEM
SHREECEM,EQ,2020-07-07,"23,111.15",23072.5,23087.65,22656.0,"22,850.00",22824.1,"22,823.91",41646.0,950524723.15,15470,11244.0,27.00,0,0,0,0,0,0,0,-0.012420411792576469,-0.009845538489569927,0.07757932854600114,0.07757932854600114,0.3791288637524055,0.07497827586937711,0.020951011002609814,0.03219949000837644,60.329562477400735,610.35555456773,617.7581932254787,-19.346654813806254,22258.34936493559,21321.413855937746,1.0,1.693396376098753,0.6041781838215675,1.2047688763798878,0.9167870722433465,0.21794870519948872,-1.1186707893287071,0.2042991982199134,-0.03905660499891736,SHREECEM
SHREECEM,EQ,2020-07-08,"22,824.10",22900.0,23050.0,22345.95,"22,452.00",22439.8,"22,579.86",57101.0,1289332817.35,18520,22850.0,40.02,0,0,0,0,0,0,0,-0.016837465661296624,-0.009870496613497481,0.06806347514017275,0.06806347514017275,0.4216981968854141,0.06237735089774987,0.020237323788210398,0.032221338317944874,62.77924702745703,586.8276805218229,616.277665493929,-7.402638657748753,22275.630377798865,21365.272136097054,1.0,-0.5093370406588358,-1.0759892152467023,0.6040525448066798,0.8076425855513303,0.5580088738779274,-0.4837884962226125,0.31228662742395874,0.25006949776215626,SHREECEM
SHREECEM,EQ,2020-07-09,"22,439.80",22622.0,22915.0,22380.2,"22,810.00",22803.6,"22,649.39",48256.0,1092969107.35,15280,14871.0,30.82,0,0,0,0,0,0,0,0.016212265706467832,0.00179019762463839,0.05997685152905419,0.05997685152905419,0.3708576426774395,0.08256584569225778,0.020450058463775546,0.0321741376300275,55.97044437506506,531.0502557790533,610.3876684995078,-29.449984972106108,22325.91319896088,21421.67715036776,1.0,0.37110406761753834,-0.39705945597637393,0.8322339792038843,0.6615209125475282,0.5653803220106436,-0.7173586981858995,0.31519232095992306,0.15531319368052923,SHREECEM
SHREECEM,EQ,2020-07-10,"22,803.60",22799.0,22799.0,22182.2,"22,400.00",22295.4,"22,401.05",44546.0,997877301.6,14831,11828.0,26.55,0,0,0,0,0,0,0,-0.022285954849234235,-0.025237565389231276,0.049136048787833175,0.049136048787833175,0.38791517652881136,0.015127611476495773,0.020450737732668416,0.03219930222474038,61.28905975527738,510.3192220828205,594.5201859554169,-79.3374127204545,22323.007180012224,21455.940791529807,1.0,-0.15490096495683092,-0.7232062769735971,0.7041073903844751,0.7998479087452466,0.24529928428892755,-1.0537049162910783,0.31506537827340314,0.1548411963090965,SHREECEM
SHREECEM,EQ,2020-07-13,"22,295.40",22460.0,22627.85,22250.0,"22,300.00",22311.2,"22,393.30",52262.0,1170318777.15,14024,19927.0,38.13,0,0,0,0,0,0,0,0.0007086663616708844,-0.03461316291054317,-0.0036373542211395327,-0.0036373542211395327,0.3174375417028339,-0.005797346856019847,0.020976272928154998,0.03228258916088946,52.69672083406142,447.7211846047685,577.6799931808976,-84.20096387259639,22321.882686677724,21489.480368332563,1.0,-0.0768816312997348,-0.8263288291100408,0.652443736451972,0.4611458333333341,0.581019831961715,-0.45799204770481794,0.35104733396138915,-0.03716536823297622,SHREECEM
SHREECEM,EQ,2020-07-14,"22,311.20",22388.0,22394.8,21710.45,"22,000.00",22085.75,"22,019.68",61251.0,1348727411.85,16431,18907.0,30.87,0,0,0,0,0,0,0,-0.01010479041916168,-0.032349577858491574,-0.0014242276955769295,-0.0014242276955769295,0.276551779944628,-0.03194452662883995,0.02092709884157539,0.032243900884830354,44.974423252820216,394.8353012860134,551.6882314656717,-129.95880857612906,22299.393859375086,21512.863491143053,1.0,0.17321420554034028,-0.47558619900357746,0.8197458680402022,0.4693750000000004,0.4177429887804245,-0.4613525758210244,0.4000719258431313,0.019179477507035792,SHREECEM
SHREECEM,EQ,2020-07-15,"22,085.75",22101.0,22274.0,21750.0,"21,800.00",21843.25,"21,905.89",48201.0,1055885639.55,13459,17469.0,36.24,0,0,0,0,0,0,0,-0.01097993049817192,-0.026584461537090265,-0.012122760760335138,-0.012122760760335138,0.20424455097017136,-0.06434458180198244,0.021028619040319572,0.03185883857844275,44.61721148029484,330.9163294404243,520.3176454297401,-156.8529301796583,22255.95158705365,21525.819824823717,1.0,0.17199877540086494,-0.13199584350467156,0.9892056260560006,0.351953125,0.14474398942618483,-1.4592237548218685,0.47010615248980187,0.010620183884964924,SHREECEM
SHREECEM,EQ,2020-07-16,"21,843.25",22031.9,22031.9,21250.0,"21,670.00",21731.1,"21,626.32",42359.0,916069436.8,13447,9467.0,22.35,0,0,0,0,0,0,0,-0.0051343092259623635,-0.047032047571436086,0.004423306248093173,0.004423306248093173,0.14803818499754318,-0.0880474375975695,0.020844836823030906,0.03183348916303028,47.3202086328371,257.7215072885774,482.43738223187694,-189.40131598931578,22205.96572161997,21533.87002777181,1.0,-0.2130577459959837,-0.6774968434994523,0.7919193357466474,0.22565104166666666,0.10603541034746929,-1.227981875754598,0.6086637138324122,0.22973303287379362,SHREECEM
SHREECEM,EQ,2020-07-17,"21,731.10",21731.1,22400.0,21606.0,"22,311.45",22269.95,"22,093.98",38076.0,841250272.45,11921,11995.0,31.50,0,0,0,0,0,0,0,0.024796259738347537,-0.001141491069906797,0.018469228623302802,0.018469228623302802,0.1753968358689486,-0.054755942275042435,0.020764243445932744,0.03173448155578274,39.74569584395089,188.49170067629166,437.4942072432171,-224.71587494329953,22212.05946241807,21562.73590903566,1.0,-0.1212008049625527,-0.920462002619648,0.7118054499741537,0.23129807692307622,0.3661999660371182,-0.8303200387672837,0.5918269941067077,0.25661512961127,SHREECEM
SHREECEM,EQ,2020-07-20,"22,269.95",22325.05,22399.9,22007.3,"22,236.05",22266.1,"22,232.56",38325.0,852062725.1,13676,8147.0,21.26,0,0,0,0,0,0,0,-0.00017287869977267167,-0.0020214062892180973,0.027083876294746734,0.027083876294746734,0.17209123593849496,-0.06163250598962011,0.02040836180919561,0.03180973920042085,49.147404319818115,175.08895531707822,387.693705929832,-249.00250656692543,22217.206180283014,21590.318814563674,1.0,-0.10111192426638971,-1.0569424947077166,0.6640440284321224,0.4903605769230773,0.649978483412566,-0.6533133550391251,0.585848573326895,0.38251762576961573,SHREECEM
SHREECEM,EQ,2020-07-21,"22,266.10",22495.0,22810.0,22260.15,"22,387.00",22440.75,"22,535.60",73617.0,1659003256.0,19325,24348.0,33.07,0,0,0,0,0,0,0,0.007843762490961748,0.01607371268804547,0.019218715936341946,0.019218715936341946,0.19185328585199524,-0.036499311961564196,0.018838512249805598,0.03179778094308825,38.84110714641116,162.28579065881058,345.17275580728125,-212.60475061275378,22238.49606787511,21623.669057129806,1.0,0.006539552473999288,-0.9840581227106562,0.6831284068358251,0.4885096153846147,0.9155907939361426,0.26197225343084185,0.909511744502542,0.4351983637289253,SHREECEM
SHREECEM,EQ,2020-07-22,"22,440.75",22500.0,22534.9,21919.3,"22,012.00",21979.45,"22,135.49",44686.0,989146486.6,11766,10390.0,23.25,0,0,0,0,0,0,0,-0.020556353954301887,0.00623533585890379,-0.03413567701180986,-0.03413567701180986,0.14374139765782123,-0.05772338902250296,0.018773734316657652,0.031807690751427864,46.62934100022699,164.33760420964245,308.5953627775871,-182.88696514847067,22213.825013791764,21637.62125096785,1.0,0.9208610567514677,0.43190612894914965,1.3395683627783732,0.5724759615384616,0.4814537366997555,-0.3886829559219918,0.8347192010831757,0.3704094364334184,SHREECEM
